City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,imeni babushkina,59.7573,43.1285,-20.4,100,100,0.62,RU,1677897459
332,pevek,69.7008,170.3133,-33.83,94,29,1.35,RU,1677897459
333,coos bay,43.3665,-124.2179,5.99,94,100,4.12,US,1677897460
334,oktyabrskoye,43.0645,44.7417,-2.92,100,79,2.0,RU,1677897460
335,sakakah,29.9697,40.2064,13.76,27,7,2.22,SA,1677897176
336,hofn,64.2539,-15.2082,2.41,76,100,1.43,IS,1677897461
337,sabang,5.8933,95.3214,27.46,75,49,9.59,ID,1677897462
338,fare,-16.7,-151.0167,27.62,72,60,1.47,PF,1677897462
339,corrente,-3.7367,-43.3394,22.41,99,100,0.82,BR,1677897463
340,scituate,42.1959,-70.7259,4.03,66,100,3.09,US,1677897463
341,mount isa,-20.7333,139.5,23.87,83,100,6.69,AU,1677897463
342,carutapera,-1.195,-46.02,24.02,96,100,3.32,BR,1677897464
343,northview,43.0456,-85.6006,0.8,90,100,6.69,US,1677897464
344,rantepao,-2.9701,119.8978,28.34,54,97,1.24,ID,1677897464
345,sandwich,41.6459,-88.6217,2.66,88,100,5.25,US,1677897465
346,chernyshevskiy,63.0128,112.4714,-10.43,90,81,3.84,RU,1677897465
347,elko,41.0002,-115.5012,-3.99,84,73,1.79,US,1677897465
348,kununurra,-15.7667,128.7333,32.99,46,38,3.09,AU,1677897466
349,hovd,48.0056,91.6419,0.41,47,100,2.57,MN,1677897466
350,flin flon,54.7682,-101.865,-7.46,91,99,3.11,CA,1677897467
351,paita,-5.0892,-81.1144,24.91,77,88,3.4,PE,1677897467
352,manati,18.4275,-66.4921,24.82,90,1,4.64,PR,1677897468
353,moron,-34.6534,-58.6198,29.45,76,90,3.44,AR,1677897468
354,sobolevo,54.4299,31.8996,-2.25,95,99,6.13,RU,1677897469
355,oneonta,42.4529,-75.0638,0.61,91,100,7.9,US,1677897447
356,santiago,-33.4569,-70.6483,23.64,49,0,3.6,CL,1677897077
357,flinders,-34.5833,150.8552,24.47,63,54,3.25,AU,1677897469
358,baruun-urt,46.6806,113.2792,2.0,35,0,4.35,MN,1677897469
359,pirgos,35.1167,25.7178,13.12,77,72,3.33,GR,1677897470
